company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,cleaned_text,cluster
Xcel Hires Management Solution,Data Science,,"Job Description:
We are seeking a highly skilled and experienced Data Scientist specializing in Machine Learning, Natural Language Processing (NLP), and Computer Vision. As a key member of our team, you will be responsible for developing and implementing innovative data-driven solutions, leveraging advanced techniques in ML, NLP, and computer vision to extract meaningful insights from complex datasets.
Requirements:
Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or related field.
3-4 years of hands-on experience in machine learning, NLP, and computer vision.
Proficiency in programming languages such as Python, R, or similar for data analysis and model development.
Strong knowledge of ML frameworks (e.g., TensorFlow, PyTorch, Scikit-learn) and libraries (NLTK, spaCy, OpenCV).
Experience in handling and processing large-scale datasets using SQL, NoSQL, or similar technologies.
Solid understanding of deep learning architectures, natural language processing techniques, and computer vision methodologies.
Excellent problem-solving skills and the ability to work in a fast-paced, collaborative environment.",Bengaluru,"₹20,00,000",/yr (est.),51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,,job description are seeking highly skilled and experienced data scientist specializing machine learning natural language processing nlp and computer vision key member our team you will responsible for developing and implementing innovative data driven solutions leveraging advanced techniques nlp and computer vision extract meaningful insights from complex datasets requirements bachelor master degree computer science data science statistics related field years hands experience machine learning nlp and computer vision proficiency programming languages such python similar for data analysis and model development strong knowledge frameworks tensorflow pytorch scikit learn and libraries nltk spacy opencv experience handling and processing large scale datasets using sql nosql similar technologies solid understanding deep learning architectures natural language processing techniques and computer vision methodologies excellent problem solving skills and the ability work fast paced collaborative environment,3
IBM,Data Scientist: Artificial Intelligence,4.2,"Introduction
In this role, you'll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analysing information, communicating outcomes and collaborating on product development. Work with Best-in-Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Work with broader team to build, analyze and improve the AI solutions.
You will also work with our software developers in consuming different enterprise applications.

Required Technical and Professional Expertise
Azure Data scientist with Knowledge on Marketing Mix Modelling along with databricks and datafactory
Design and implementing data models that help in identifying patterns and trends.
Collaboration Work with data engineers to optimize and maintain data pipelines.
Perform quantitative analyses that translate data into actionable insights and provide analytical, data-driven decision-making. Identify and recommend process improvements to enhance the efficiency of the data platform. Develop and maintain data models, algorithms, and statistical models.


Preferred Technical and Professional Expertise
Experience with conversation analytics
Experience with cloud technologies
Experience with data exploration tools such as Tableu

About Business UnitIBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.
This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.
Your Life @ IBMIn a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementWhen applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",Bengaluru,"₹7,47,669",/yr (est.),10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),4.1,3.6,4.2,3.8,4.2,introduction this role you work our ibm client innovation center cic where deliver deep technical and industry expertise wide range public and private sector clients around the world these centers offer our clients locally based skills and technical expertise drive innovation and adoption new technology data scientist ibm you will help transform our clients data into tangible business value analysing information communicating outcomes and collaborating product development work with best class open source and visual tools along with the most flexible and scalable deployment options whether investigating patient trends weather patterns you will work solve real world problems for the industries transforming how live your role and responsibilities work with broader team build analyze and improve the solutions you will also work with our software developers consuming different enterprise applications required technical and professional expertise azure data scientist with knowledge marketing mix modelling along with databricks and datafactory design and implementing data models that help identifying patterns and trends collaboration work with data engineers optimize and maintain data pipelines perform quantitative analyses that translate data into actionable insights and provide analytical data driven decision making identify and recommend process improvements enhance the efficiency the data platform develop and maintain data models algorithms and statistical models preferred technical and professional expertise experience with conversation analytics experience with cloud technologies experience with data exploration tools such tableu about business unitibm consulting ibm consulting and global professional services business with market leading capabilities business and technology transformation with deep expertise many industries offer strategy experience technology and operations services many the most innovative and valuable companies the world our people are focused accelerating our clients businesses through the power collaboration believe the power technology responsibly used help people partners and the planet this job requires you fully covid vaccinated prior your start date and proof vaccination status will required before your start date during the onboarding process you will asked confirm your vaccination status case you are unable get vaccinated for any reason you can let know that stage please let know you are unable vaccinated due medical religious reasons ibm will consider such requests case case basis subject submission required proof the candidate before stipulated date your life ibmin world where technology never stands still understand that dedication our clients success innovation that matters and trust and personal responsibility all our relationships lives what ibmers strive the catalyst that makes the world work better being ibmer means you able learn and develop yourself and your career you encouraged courageous and experiment everyday all whilst having continuous trust and support environment where everyone can thrive whatever their personal professional background our ibmers are growth minded always staying curious open feedback and learning new information and skills constantly transform themselves and our company they are trusted provide going feedback help other ibmers grow well collaborate with colleagues keeping mind team focused approach include different perspectives drive exceptional outcomes for our customers the courage our ibmers have make critical decisions everyday essential ibm becoming the catalyst for progress always embracing challenges with resources they have hand can attitude and always striving for outcome focused approach within everything that they are you ready ibmer about ibmibm greatest invention the ibmer believe that through the application intelligence reason and science can improve business society and the human condition bringing the power open hybrid cloud and strategy life for our clients and partners around the world restlessly reinventing since are not only one the largest corporate organizations the world also one the biggest technology and consulting employers with many the fortune companies relying the ibm cloud run their business ibm pride ourselves being early adopter artificial intelligence quantum computing and blockchain now time for you join our journey being responsible technology innovator and force for good the world location statementwhen applying jobs your interest recommend that you for those that match your experience and expertise our recruiters advise that you apply not more than roles year for the best candidate experience for additional information about location requirements please discuss with the recruiter following submission your application being you ibmibm committed creating diverse environment and proud equal opportunity employer all qualified applicants will receive consideration for employment without regard race color religion sex gender gender identity expression sexual orientation national origin caste genetics pregnancy disability neurodivergence age veteran status other characteristics ibm also committed compliance with all fair employment practices regarding citizenship and immigration status,1
Gain.pro,Private Equity Intelligence - Data Management Analyst,4.0,"Who are we?
Gain.pro is on a mission to provide global private market visibility. Our industry-leading platform combines advanced AI tech with local-for-local research. It delivers the highest quality information on the companies that matter to you most.We serve 100% of MBB/Big-4 advisories, clients representing >$500bn of private equity capital and more than 70% of the top-20 global M&A houses. Examples include Blackstone, Goldman Sachs and McKinsey. We lead the market on customer satisfaction, as validated by external research (User Evidence survey 2023).Gain.pro has been named as one of Europe’s top 50 fastest growing businesses, operating globally with offices in Amsterdam, London, Frankfurt, Warsaw and Bangalore.
What will you do?
Research, analyse and maintain Global company profiles by collecting and processing their business and financial information
Perform regular, in-depth checks of meaningful events linked to the companies on our platform (e.g. new annual reports, M&A, business restructuring, ownership changes)
Support and drive value-added data support projects for research and strategy purpose (e.g. create and maintain investor profiles on our platform, propose and lead platform maintenance initiatives)
Work in close cooperation with experienced Private Equity Intelligence Associates in Europe and globally

Above all, you will join us on an exciting journey and will have the freedom to leave your personal note in a high growth scale-up

What do you need to join us?
You hold a Bachelors degree in finance, economics, business or a quantitative field and have consistently achieved excellent results
You are a recent graduate with 0-1 year work experience in financial research for a shared services/competence center for Global IBD, Strategy Consultant or Big 4 based in India
You showcase a strong interest in private equity and investment banking, and appreciate world-class investment research and in-depth analyses
Intrigued by detailed company analysis and research
World-class communication skills
You are very structured and enjoy working with clear deliverables and targets

What do we offer?
Opportunity to play a high-visibility role at a high-growth fintech scale-up with an international footprint
Clear development path supported by lots of coaching and a feedback-driven approach
Excellent and competitive base salary
Annual bonus linked to your performance/ OKRs
Attractive benefits including remote working allowance, learning & coaching benefits, etc.
Fun working atmosphere with company-wide outings and events
Above all: the opportunity to carve your signature in a fast-growing SaaS scale-up and be part of a team being built from scratch
We are post product-market fit and aspiring unicorn status; this is the right time to come onboard and make that ride with us
Does this sound like a perfect match?
We are proud of our wonderful product and believe it has lots of potential. We are growing fast and having fun while building our platform and company. Does this sound like a team you would like to become a part of? Reach out – we are excited to get to know you and show you what we do!

Gain.pro B.V. with its registered seat in Apollolaan 151, 1077 AR Amsterdam, The Netherlands, or another Gain.pro entity which runs the recruitment process, further called „Gain.pro"", is the controller of personal data you submit as part of the job application. Your personal data will be processed for the purpose of conducting a recruitment process for the job position you apply for. If you provide Gain.pro with explicit consent, your personal data will be also processed for the purpose of conducting future recruitment processes. Please read the Gain.pro Privacy Policy to acquaint yourself with how Gain.pro processes your personal data: https://www.gain.pro/privacy-policy/recruitment.",Bengaluru,"₹3,84,773",/yr (est.),51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.9,3.4,3.8,3.7,4.2,who are gain pro mission provide global private market visibility our industry leading platform combines advanced tech with local for local research delivers the highest quality information the companies that matter you most serve mbb big advisories clients representing private equity capital and more than the top global houses examples include blackstone goldman sachs and mckinsey lead the market customer satisfaction validated external research user evidence survey gain pro has been named one europe top fastest growing businesses operating globally with offices amsterdam london frankfurt warsaw and bangalore what will you research analyse and maintain global company profiles collecting and processing their business and financial information perform regular depth checks meaningful events linked the companies our platform new annual reports business restructuring ownership changes support and drive value added data support projects for research and strategy purpose create and maintain investor profiles our platform propose and lead platform maintenance initiatives work close cooperation with experienced private equity intelligence associates europe and globally above all you will join exciting journey and will have the freedom leave your personal note high growth scale what you need join you hold bachelors degree finance economics business quantitative field and have consistently achieved excellent results you are recent graduate with year work experience financial research for shared services competence center for global ibd strategy consultant big based india you showcase strong interest private equity and investment banking and appreciate world class investment research and depth analyses intrigued detailed company analysis and research world class communication skills you are very structured and enjoy working with clear deliverables and targets what offer opportunity play high visibility role high growth fintech scale with international footprint clear development path supported lots coaching and feedback driven approach excellent and competitive base salary annual bonus linked your performance okrs attractive benefits including remote working allowance learning coaching benefits etc fun working atmosphere with company wide outings and events above all the opportunity carve your signature fast growing saas scale and part team being built from scratch are post product market fit and aspiring unicorn status this the right time come onboard and make that ride with does this sound like perfect match are proud our wonderful product and believe has lots potential are growing fast and having fun while building our platform and company does this sound like team you would like become part reach out are excited get know you and show you what gain pro with its registered seat apollolaan amsterdam the netherlands another gain pro entity which runs the recruitment process further called gain pro the controller personal data you submit part the job application your personal data will processed for the purpose conducting recruitment process for the job position you apply for you provide gain pro with explicit consent your personal data will also processed for the purpose conducting future recruitment processes please read the gain pro privacy policy acquaint yourself with how gain pro processes your personal data https www gain pro privacy policy recruitment,1
String Bio,DATA SCIENTIST,4.3,"Location: Bangalore, India
Contact:Please email people@stringbio.com
No of Openings: 1
Position: Fulltime
We are looking for a Data Scientist to analyse large amounts of raw information and automate controls and collection processes. The employee will be part of a team to build data products, analytical tools and control algorithms. Critical thinking and problem-solving skills are essential for interpreting data. Experience with machine-learning and predictive modelling is a plus.
POSITION RESPONSIBILITIES
Undertaking data collection, pre-processing and analysis.
Building models to address critical trends for better decision making.
Presenting information using data visualization techniques.
Build predictive models and machine-learning algorithms.
Identify valuable data sources and automate collection processes.
Undertake pre-processing of structured and unstructured data.
Analyse large amounts of information to discover trends and patterns.
Build predictive models and machine-learning algorithms.
Present information using data visualization techniques.
Propose solutions and strategies to data architecture.
Collaborate with engineering and product development teams.
CANDIDATE PROFILE
EDUCATION AND EXPERIENCE
BSc Mathematics /BE in Computer Science Engineering or relevant field - Required
Graduate degree in Data Science / quantitative field is preferred- Desirable
Overall experience of 2+ years.
Proven experience as a Data Scientist or Data Analyst.
Experience in data mining.
Understanding of machine-learning and operations research.
Knowledge of SQL and Python; familiarity with C++ is an asset.
Experience using business intelligence tools (e.g., Tableau).
Analytical mind and business acumen.
Strong math skills (e.g., statistics, algebra).
Problem-solving aptitude.
Excellent communication and presentation skills.
PERSONAL QUALITIES:
Good written and verbal communication skills.
Self-motivated, ability to work independently as well as a part of a team.
Network builder.
Person of integrity, trust & honesty.",Bengaluru,"₹5,79,655",/yr (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.6,3.3,4.5,4.7,3.6,location bangalore india contact please email people stringbio com openings position fulltime are looking for data scientist analyse large amounts raw information and automate controls and collection processes the employee will part team build data products analytical tools and control algorithms critical thinking and problem solving skills are essential for interpreting data experience with machine learning and predictive modelling plus position responsibilities undertaking data collection pre processing and analysis building models address critical trends for better decision making presenting information using data visualization techniques build predictive models and machine learning algorithms identify valuable data sources and automate collection processes undertake pre processing structured and unstructured data analyse large amounts information discover trends and patterns build predictive models and machine learning algorithms present information using data visualization techniques propose solutions and strategies data architecture collaborate with engineering and product development teams candidate profile education and experience bsc mathematics computer science engineering relevant field required graduate degree data science quantitative field preferred desirable overall experience years proven experience data scientist data analyst experience data mining understanding machine learning and operations research knowledge sql and python familiarity with asset experience using business intelligence tools tableau analytical mind and business acumen strong math skills statistics algebra problem solving aptitude excellent communication and presentation skills personal qualities good written and verbal communication skills self motivated ability work independently well part team network builder person integrity trust honesty,3
BSRI Solutions,Data Scientist,,"Job openings for data scientist in chennai


Understand and translate business needs into data models supporting long-term solutions
Work with the Application Development team to implement data strategies, build data flows and
develop conceptual data models
Create logical and physical data models using best practices to ensure high data quality and
reduced redundancy
Optimize and update logical and physical data models to support new and existing projects
Maintain conceptual, logical and physical data models along with corresponding metadata
Develop best practices for standard naming conventions and coding practices to ensure
consistency of data models
Recommend opportunities for reuse of data models in new environments
Perform reverse engineering of physical data models from databases and SQL scripts
Evaluate data models and physical databases for variances and discrepancies
Analyze data-related system integration challenges and propose appropriate solutions
Develop data models according to company standards
Guide System Engineers, Programmers and others on product limitations and capabilities,
performance requirements and interfaces
Review modifications to existing software to improve efficiency and performance
Python, Machine Learning, Sql, Data modeling, Deep Learning, statistical modelling.
 Selecting and integrating any Big Data tools and frameworks required to
provide requested capabilities
Experience
4 - 10 Years

Salary
6 Lac To 16 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
Other Bachelor Degree

Key Skills
Data Mining
Machine Learning
Deep learning
SQL
Pyspark
Python
MySQL
Data Scientist
ML framework



About Company
Contact Person
Mr.S.Buvanesh

Address
Level 6, Phase II, Campus 4B, Unit 602A, No. 143, Dr. M.G.R Road, Kandanchavady

Mobile
9176376488

Email ID
admin@bsrisolutions.com",Chennai,"₹11,00,000",/yr (est.),1 to 50 Employees,2016,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,Less than $1 million (USD),,,,,,job openings for data scientist chennai understand and translate business needs into data models supporting long term solutions work with the application development team implement data strategies build data flows and develop conceptual data models create logical and physical data models using best practices ensure high data quality and reduced redundancy optimize and update logical and physical data models support new and existing projects maintain conceptual logical and physical data models along with corresponding metadata develop best practices for standard naming conventions and coding practices ensure consistency data models recommend opportunities for reuse data models new environments perform reverse engineering physical data models from databases and sql scripts evaluate data models and physical databases for variances and discrepancies analyze data related system integration challenges and propose appropriate solutions develop data models according company standards guide system engineers programmers and others product limitations and capabilities performance requirements and interfaces review modifications existing software improve efficiency and performance python machine learning sql data modeling deep learning statistical modelling selecting and integrating any big data tools and frameworks required provide requested capabilities experience years salary lac lac industry software application programming maintenance qualification other bachelor degree key skills data mining machine learning deep learning sql pyspark python mysql data scientist framework about company contact person buvanesh address level phase campus unit road kandanchavady mobile email admin bsrisolutions com,3
JPMorgan Chase & Co,Data and Quality Control Processing - Associate,4.0,"JOB DESCRIPTION

You are a strategic thinker passionate about driving solutions. You have found the right team.
The Global Real Estate Digital Strategy and Data Management team is part of the Global Real Estate Finance & Business Management function. The Global Real Estate Finance & Business Management function is comprised of finance and business management professionals across the globe who are responsible for partnering with leadership to achieve GRE’s financial, strategic, and control objectives.
You will be part of the Project Management Information System (PMIS) team which is responsible for managing key project information and application data including username and password information, security and access control, project information including but not limited to; location codes and data, cost account validations, company and contact assignments, and workflow assignment details.
Job Responsibilities
Security and access control. Design/Develop a process to manage the security and access control process.
Complete established validations on submission requests, prepare requests and validate updates were completed as expected. Exposure to PMIS systems is preferred.
Complete established QC processes and escalate exceptions to the appropriate parties. Research process breaks to identify issues and escalate to appropriate parties for resolution.
Understand the various mappings within the data and make suggestions to cleanse and improve data. Understand the business requirements and flow of data.
Support multiple business projects and initiatives. Candidate should have keen eye for detail.
Identify, communicate, and resolve cross-functional dependencies and challenges. Candidate should be able to manage work independently with little supervision.
Support the implementation of key business decisions and change efforts. Support multiple projects and reporting needs by working with teams across the globe.
Required Qualifications, Skills and Capabilities
Strong academic background - Graduates with 3-5 years of experience. Experience using PMWeb will be a plus.
Keen attention to details, ability to structure and scope complex problems and understand complex systems.
Ability to multitask and handle high stress while maintaining accuracy in tight deadlines.
Ability to understand complex data.
Ability to think independently, handle ambiguity and make continuous progress towards meeting business objectives
Strong stakeholder and partner management and executive-level communication skills.
Required Qualifications, Skills and Capabilities
Experience using PMWeb or similar applications (please mention this in CV and highlight).
Ability to learn new tools and technologies and the ability to provide user support.
Attention to details, ability to structure and scope complex problems and understand complex systems.
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM
Our professionals in our Corporate Functions cover a diverse range of areas from finance and risk to human resources and marketing. Our corporate teams are an essential part of our company, ensuring that we’re setting our businesses, clients, customers and employees up for success.


Global Finance & Business Management works to strategically manage capital, drive growth and efficiencies, maintain financial reporting and proactively manage risk. By providing information, analysis and recommendations to improve results and drive decisions, teams ensure the company can navigate all types of market conditions while protecting our fortress balance sheet.",India,,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7,job description you are strategic thinker passionate about driving solutions you have found the right team the global real estate digital strategy and data management team part the global real estate finance business management function the global real estate finance business management function comprised finance and business management professionals across the globe who are responsible for partnering with leadership achieve gre financial strategic and control objectives you will part the project management information system pmis team which responsible for managing key project information and application data including username and password information security and access control project information including but not limited location codes and data cost account validations company and contact assignments and workflow assignment details job responsibilities security and access control design develop process manage the security and access control process complete established validations submission requests prepare requests and validate updates were completed expected exposure pmis systems preferred complete established processes and escalate exceptions the appropriate parties research process breaks identify issues and escalate appropriate parties for resolution understand the various mappings within the data and make suggestions cleanse and improve data understand the business requirements and flow data support multiple business projects and initiatives candidate should have keen eye for detail identify communicate and resolve cross functional dependencies and challenges candidate should able manage work independently with little supervision support the implementation key business decisions and change efforts support multiple projects and reporting needs working with teams across the globe required qualifications skills and capabilities strong academic background graduates with years experience experience using pmweb will plus keen attention details ability structure and scope complex problems and understand complex systems ability multitask and handle high stress while maintaining accuracy tight deadlines ability understand complex data ability think independently handle ambiguity and make continuous progress towards meeting business objectives strong stakeholder and partner management and executive level communication skills required qualifications skills and capabilities experience using pmweb similar applications please mention this and highlight ability learn new tools and technologies and the ability provide user support attention details ability structure and scope complex problems and understand complex systems about jpmorgan chase one the oldest financial institutions offers innovative financial solutions millions consumers small businesses and many the world most prominent corporate institutional and government clients under the morgan and chase brands our history spans over years and today are leader investment banking consumer and small business banking commercial banking financial transaction processing and asset management recognize that our people are our strength and the diverse talents they bring our global workforce are directly linked our success are equal opportunity employer and place high value diversity and inclusion our company not discriminate the basis any protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability any other basis protected under applicable law accordance with applicable law make reasonable accommodations for applicants and employees religious practices and beliefs well any mental health physical disability needs about the team our professionals our corporate functions cover diverse range areas from finance and risk human resources and marketing our corporate teams are essential part our company ensuring that setting our businesses clients customers and employees for success global finance business management works strategically manage capital drive growth and efficiencies maintain financial reporting and proactively manage risk providing information analysis and recommendations improve results and drive decisions teams ensure the company can navigate all types market conditions while protecting our fortress balance sheet,1
Inventive Software Solutions Pvt. Ltd,Data Entry Operator/Computer Operator,,"* To prepare and maintain data
* Knowledge of Hindi typing will be given preference
* Must have good computer skills
* Knowledge of Excel and word is a must
Job Type: Full-time
Salary: ₹18,000.00 - ₹20,000.00 per month
Benefits:
Health insurance
Leave encashment
Paid time off
Provident Fund
Schedule:
Day shift
Application Question(s):
Can you prepare any document in Hindi ?
Education:
Higher Secondary(12th Pass) (Preferred)
Experience:
Microsoft Office: 1 year (Preferred)
total work: 1 year (Preferred)
Work Location: In person
Speak with the employer
+91 7302986929",Noida,"₹19,000",/mo (est.),,,,,,,,,,,,prepare and maintain data knowledge hindi typing will given preference must have good computer skills knowledge excel and word must job type full time salary per month benefits health insurance leave encashment paid time off provident fund schedule day shift application question can you prepare any document hindi education higher secondary pass preferred experience microsoft office year preferred total work year preferred work location person speak with the employer,2
eCloudChain,Data Analyst,,"Job-Code: DA-2004
We are looking for a passionate and experienced data analyst to join our Cloud team. In this role, you will be responsible to drive innovation using various Data Analysis & Data Visualizations using the latest Cloud services.
Qualification and Experience Requirement :
AWS services – EC2,S3,Athena,Lambda,Kinesis,AWS Elasticsearch,Kibana and Quicksight
Deep experience in Elasticsearch and the use of Kibana Visualizations.
Data visualization skills to create powerful Dashboards that transform complex data into easily-consumable, actionable insights
Data processing, statistical modeling, and Machine Learning
Good programming experience on Python using AWS CLIs, BOTO3, and SDKs
Unix/Linux administration and experience with strong UNIX fundamentals
Strong troubleshooting and problem-solving skills
Excellent logical and problem-solving abilities
Design, implement and enhance ETL processes
Qualification:
BE / BTech graduates / MCA / or M. Sc (CS or IT) from reputed institutes
Experience:
2-3 years of hands-on experience
Location:
The position is remote.

Please send your latest resume at careers@ecloudchain.com with appropriate Job-Code",Remote,,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.0,4.0,5.0,5.0,4.0,job code are looking for passionate and experienced data analyst join our cloud team this role you will responsible drive innovation using various data analysis data visualizations using the latest cloud services qualification and experience requirement aws services athena lambda kinesis aws elasticsearch kibana and quicksight deep experience elasticsearch and the use kibana visualizations data visualization skills create powerful dashboards that transform complex data into easily consumable actionable insights data processing statistical modeling and machine learning good programming experience python using aws clis boto and sdks unix linux administration and experience with strong unix fundamentals strong troubleshooting and problem solving skills excellent logical and problem solving abilities design implement and enhance etl processes qualification btech graduates mca from reputed institutes experience years hands experience location the position remote please send your latest resume careers ecloudchain com with appropriate job code,3
Kpro Solutions,Analytics & Data Science,4.0,"Experience & Qualification:

Minimum of 9 years- experience using data science and modelling tools such as SAS, SPSS, Python or R against large data sets, with demonstrable expert-level proficiency with at least one of these tools require

Proficiency in using SQL, Hadoop/Spark for data extraction and analysis


Practical experience using multivariate and/or ML methods for classification, clustering and estimation, such as Decision Trees, Random Forests, CART/CHAID, Extreme Gradient Boosting, Ridge Regression, PCA and SVM

Responsibilities:

The candidate should be good at writing, reviewing and publishing web content

Excellent writing skills & command over English language is a must. Knowledge of technology, SaaS and experience in creating content for the web is a huge plus.

Job Description:

The candidate should be good in python,sql and data structure

email your resume / updated CV to hr@kpro.co.in",Bengaluru,"₹4,83,915",/yr (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.0,4.0,4.0,4.0,4.0,experience qualification minimum years experience using data science and modelling tools such sas spss python against large data sets with demonstrable expert level proficiency with least one these tools require proficiency using sql hadoop spark for data extraction and analysis practical experience using multivariate and methods for classification clustering and estimation such decision trees random forests cart chaid extreme gradient boosting ridge regression pca and svm responsibilities the candidate should good writing reviewing and publishing web content excellent writing skills command over english language must knowledge technology saas and experience creating content for the web huge plus job description the candidate should good python sql and data structure email your resume updated kpro,0
Athena Global Technologies,Data Engineer,,"Immediate requirement for Data Engineer
Experience: 4 to 6 years of experience
Job description.
Minimum education: Bachelor’s degree in informatics, Computer Science, Information Systems, or something relevant
Basic Knowledge:
– Understand basic operating systems such as Windows server, macOS, or Linux.
– Understand and experience using databases such as Mysql, Postresql, SQL Server, Oracle, Big Query, etc.
– Understand DDL, DML, PLSQL queries
Have experience using one of the ETL / Data Integration tools such as Pentaho, Talend, SSIS, Informatica, etc.
Have experience using one of the BI tools such as: Tableau, Power BI, Looker, etc
Have experience or involvement in DWH implementation
Have experience implementing one of the cloud-based data integrations of AZURE, AWS, GCP, Snowflake, etc
Have experience using Hadoop, HDFS, Hive, Impala, Spark or big data tools (Cloudera, Cassandra, etc.)
Have experience using/processing Big Data.
Has been involved in developing Data Management, Data Governance, Data Quality, Data Stewardship, etc
Have experience using APIs for Data Integration.
Job Category: Data Engineer
Job Type: Full Time
Job Location: Hyderabad",Hyderābād,"₹6,78,949",/yr (est.),51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.2,3.5,4.0,3.9,3.9,immediate requirement for data engineer experience years experience job description minimum education bachelor degree informatics computer science information systems something relevant basic knowledge understand basic operating systems such windows server macos linux understand and experience using databases such mysql postresql sql server oracle big query etc understand ddl dml plsql queries have experience using one the etl data integration tools such pentaho talend ssis informatica etc have experience using one the tools such tableau power looker etc have experience involvement dwh implementation have experience implementing one the cloud based data integrations azure aws gcp snowflake etc have experience using hadoop hdfs hive impala spark big data tools cloudera cassandra etc have experience using processing big data has been involved developing data management data governance data quality data stewardship etc have experience using apis for data integration job category data engineer job type full time job location hyderabad,0
